"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20163693,"163693 Atira (2003 CP20)",163693,Atira,,Y,N,1,16.41,,,,,,,,,,3.398,,,,,,,,,"JPL 203",2460600.5,60600,2024-10-17.0,J2000,0.3221,0.741,0.502,25.62,103.87,252.94,139.17,0.98,1.545,2460510.43,2024-07-18.9,233,0.638,0.206,80.3,4.42,7.67,2.3e-09,2.5e-10,1.9e-09,3.4e-07,3.0e-07,4.7e-07,3.0e-06,3.4e-10,7.9e-10,1.9e-06,1.2e-07,IEO,"Otto Matic",7766,2003-02-12,2024-05-18,1009,2,0,0,.40815,,,,,,,,,
20164294,"164294 (2004 XZ130)",164294,,,Y,N,0,20.45,,,,,,,,,,,,,,,,,,,"JPL 20",2460600.5,60600,2024-10-17.0,J2000,0.4545,0.6175,0.337,2.95,211.15,5.42,134.44,0.90,2.031,2460534.30,2024-08-11.8,177,0.485,0.0948,36.9,4.07,9.04,4.8e-07,1.6e-08,3.0e-07,4.2e-05,3.3e-04,3.2e-04,6.0e-04,2.4e-08,8.0e-08,2.9e-04,7.0e-06,IEO,"Otto Matic",3564,2004-12-13,2014-09-16,72,,,1,.21957,,,,,,,,,
20413563,"413563 (2005 TG45)",413563,,,Y,N,0,17.64,,,,,,,,,,1.3862,,,,,,,,,"JPL 77",2460600.5,60600,2024-10-17.0,J2000,0.3722,0.6813,0.428,23.33,273.42,230.43,153.07,0.93,1.752,2460513.16,2024-07-21.6,205,0.562,0.196,76.4,4.16,8.25,1.8e-07,3.4e-09,1.2e-07,3.3e-05,9.1e-05,9.6e-05,9.9e-05,4.6e-09,1.3e-08,5.6e-05,1.5e-06,IEO,"Otto Matic",6591,2005-09-26,2023-10-13,274,,,0,.49746,,,,,,,,,
20418265,"418265 (2008 EA32)",418265,,,Y,N,0,16.48,,,,,,,,,,,,,,,,,,,"JPL 88",2460600.5,60600,2024-10-17.0,J2000,0.3050,0.6159,0.428,28.26,100.94,181.84,356.92,0.80,2.039,2460602.01,2024-10-18.5,177,0.483,0.179,69.6,4.31,9.03,2.9e-07,2.6e-09,1.8e-07,4.8e-05,5.8e-05,6.7e-05,1.1e-04,3.4e-09,1.3e-08,5.5e-05,1.1e-06,IEO,"Otto Matic",5816,2008-03-10,2024-02-11,393,,,0,.36904,,,,,,,,,
20434326,"434326 (2004 JG6)",434326,,,Y,Y,0,18.48,,,,,,,,,,,,,,,,,,,"JPL 36",2460600.5,60600,2024-10-17.0,J2000,0.5311,0.6352,0.298,18.94,37.01,353.01,336.94,0.97,1.947,2460612.34,2024-10-28.8,185,0.506,0.0374,14.6,4.47,8.75,1.9e-07,6.3e-09,1.2e-07,5.4e-05,4.0e-05,3.8e-05,2.1e-04,9.7e-09,2.9e-08,1.1e-04,2.8e-06,IEO,"Otto Matic",6227,2004-05-11,2021-05-29,142,,,1,.46713,,,,,,,,,
20481817,"481817 (2008 UL90)",481817,,,Y,Y,0,18.61,,,,,,,,,,,,,,,,,,,"JPL 72",2460600.5,60600,2024-10-17.0,J2000,0.3799,0.695,0.431,24.31,81.13,183.67,2.40,0.96,1.701,2460599.09,2024-10-15.5,212,0.579,0.026,10.1,4.1,8.1,3.7e-08,4.0e-09,2.7e-08,3.6e-06,3.4e-06,2.9e-05,6.3e-05,5.5e-09,1.5e-08,3.7e-05,1.8e-06,IEO,"Otto Matic",5537,2008-10-26,2023-12-24,343,4,3,0,.46051,,,,,,,,,
20594913,"594913 'Aylo'chaxnim (2020 AV2)",594913,'Aylo'chaxnim,,Y,N,0,16.20,,,,,,,,,,,,,,,,,0.78,,"JPL 42",2460600.5,60600,2024-10-17.0,J2000,0.1771,0.5554,0.457,15.87,6.69,187.35,72.14,0.65,2.381,2460570.21,2024-09-16.7,151,0.414,0.347,135,4.3,9.99,8.3e-07,5.2e-08,4.7e-07,5.9e-05,2.3e-04,3.0e-04,6.4e-04,6.1e-08,3.3e-07,2.7e-04,2.1e-05,IEO,"Otto Matic",1356,2020-01-04,2023-09-21,261,,,2,.34293,,,,,,,,,
20613676,"613676 (2006 WE4)",613676,,,Y,N,0,18.82,,,,,,,,,,,,,,,,,,,"JPL 22",2460600.5,60600,2024-10-17.0,J2000,0.1829,0.7848,0.641,24.77,311.00,318.60,108.87,0.93,1.418,2460523.71,2024-08-01.2,254,0.695,0.0999,38.9,4.21,7.32,4.3e-07,8.2e-09,3.4e-07,5.9e-05,7.2e-05,1.7e-04,3.0e-04,9.6e-09,2.2e-08,2.1e-04,4.0e-06,IEO,"Otto Matic",5614,2006-11-21,2022-04-05,65,1,0,1,.33643,,,,,,,,,
20678861,"678861 (2017 YH)",678861,,,Y,N,0,18.12,,,,,,,,,,3.8896,,,,,,,,,"JPL 40",2460600.5,60600,2024-10-17.0,J2000,0.4823,0.6344,0.328,19.86,134.16,147.53,11.19,0.94,1.951,2460594.76,2024-10-11.2,185,0.505,0.115,44.8,4.22,8.78,1.2e-07,8.4e-09,7.8e-08,6.9e-05,8.6e-05,9.4e-05,1.0e-04,1.2e-08,3.9e-08,5.1e-05,3.7e-06,IEO,"Otto Matic",2612,2016-12-05,2024-01-30,177,,,1,.406,,,,,,,,,
3184472,"       (1998 DK36)","1998 DK36",,,Y,N,0,25.01,,,,,,,,,,,,,,,,,,,"JPL 13",2450868.5,50868,1998-02-24.0,J2000,0.4160,0.6923,0.404,2.02,151.46,180.04,183.25,0.98,1.711,2450971.79,1998-06-07.2,210,0.576,0.00844,3.28,4.34,8.18,7.7e-02,3.7e-02,7.5e-02,3.5e-01,3.9e-01,1.2e+00,2.8e+00,5.3e-02,1.4e-01,9.8e+00,1.7e+01,IEO,"Otto Matic",1,1998-02-23,1998-02-24,4,,,9,.072251,,,,,,,,,
3553148,"       (2010 XB11)","2010 XB11",,,Y,N,0,19.73,,,,,,,,,,,,,,,,,,,"JPL 17",2460600.5,60600,2024-10-17.0,J2000,0.5338,0.6181,0.288,29.88,96.30,202.49,326.77,0.95,2.028,2460616.88,2024-11-02.3,177,0.486,0.0915,35.6,4.25,8.92,8.4e-07,2.8e-08,5.2e-07,1.5e-04,1.6e-04,9.3e-05,7.0e-04,4.3e-08,1.4e-07,3.5e-04,1.2e-05,IEO,"Otto Matic",4141,2010-12-02,2022-04-04,55,,,2,.57923,,,,,,,,,
3617387,"       (2012 VE46)","2012 VE46",,,Y,Y,0,20.20,,,,,,,,,,,,,,,,,,,"JPL 29",2460600.5,60600,2024-10-17.0,J2000,0.3613,0.7131,0.455,6.67,8.65,190.59,141.63,0.97,1.637,2460513.97,2024-07-22.4,220,0.602,0.0324,12.6,3.98,7.98,1.2e-07,1.7e-08,8.7e-08,2.2e-05,7.7e-05,5.3e-05,1.9e-04,2.3e-08,5.8e-08,1.2e-04,7.8e-06,IEO,"Otto Matic",2225,2012-11-06,2018-12-10,77,,,1,.43026,,,,,,,,,
3638505,"       (2013 JX28)","2013 JX28",,,Y,N,0,20.10,,,,,,,,,,,,,,,,,,,"JPL 16",2460600.5,60600,2024-10-17.0,J2000,0.5642,0.6008,0.262,10.76,39.93,354.90,10.30,0.94,2.116,2460595.64,2024-10-12.1,170,0.466,0.0661,25.7,4.49,9.21,1.5e-07,1.2e-08,8.9e-08,7.5e-05,6.6e-05,8.7e-05,2.2e-04,1.8e-08,6.2e-08,1.0e-04,5.0e-06,IEO,"Otto Matic",5110,2006-05-25,2020-05-21,55,0,1,1,.52453,,,,,,,,,
3648862,"       (2013 TQ5)","2013 TQ5",,,Y,N,0,19.80,,,,,,,,,,,,,,,,,,,"JPL 15",2460600.5,60600,2024-10-17.0,J2000,0.1557,0.7737,0.653,16.40,286.74,247.22,257.50,0.89,1.448,2460671.27,2024-12-26.7,249,0.68,0.192,74.8,4.11,7.46,2.4e-07,2.9e-08,1.9e-07,4.5e-05,1.2e-04,1.9e-04,2.4e-04,3.3e-08,8.0e-08,1.7e-04,1.4e-05,IEO,"Otto Matic",2269,2013-10-02,2019-12-19,47,,,1,.53382,,,,,,,,,
3666783,"       (2014 FO47)","2014 FO47",,,Y,Y,0,20.21,,,,,,,,,,,,,,,,,,,"JPL 17",2460600.5,60600,2024-10-17.0,J2000,0.2711,0.7521,0.548,19.20,358.63,347.45,265.10,0.96,1.511,2460663.31,2024-12-18.8,238,0.652,0.0446,17.4,4.39,7.61,1.7e-07,1.8e-08,1.2e-07,4.1e-05,4.3e-05,6.2e-05,2.0e-04,2.3e-08,5.5e-08,1.3e-04,8.7e-06,IEO,"Otto Matic",3259,2014-03-30,2023-03-02,50,,,1,.52246,,,,,,,,,
3712675,"       (2015 DR215)","2015 DR215",,,Y,Y,0,20.51,,,,,,,,,,,,,,,,,,,"JPL 26",2460600.5,60600,2024-10-17.0,J2000,0.4715,0.6666,0.352,4.06,314.57,42.70,85.35,0.98,1.811,2460553.36,2024-08-30.8,199,0.544,0.0437,17,4.45,8.44,6.3e-08,4.0e-09,4.1e-08,1.6e-05,2.4e-04,2.5e-04,3.7e-05,5.9e-09,1.6e-08,2.0e-05,1.8e-06,IEO,"Otto Matic",2602,2015-02-18,2022-04-04,82,,,0,.51095,,,,,,,,,
3791243,"       (2017 XA1)","2017 XA1",,,Y,Y,0,21.30,,,,,,,,,,,,,,,,,,,"JPL 7",2460600.5,60600,2024-10-17.0,J2000,0.2016,0.8094,0.646,17.18,239.62,327.62,12.33,0.97,1.353,2460591.39,2024-10-07.8,266,0.728,0.0484,18.8,4.01,7.17,2.4e-07,2.4e-08,2.1e-07,3.4e-05,3.4e-05,4.8e-05,2.0e-04,2.9e-08,6.1e-08,1.5e-04,1.2e-05,IEO,"Otto Matic",1084,2017-12-05,2020-11-23,30,,,1,.67262,,,,,,,,,
3824107,"       (2018 JB3)","2018 JB3",,,Y,N,0,17.66,,,,,,,,,,,,,,,,,,,"JPL 28",2460600.5,60600,2024-10-17.0,J2000,0.2904,0.6832,0.485,40.39,106.41,355.25,263.28,0.88,1.745,2460655.91,2024-12-11.4,206,0.565,0.135,52.6,4.26,8.14,3.9e-07,1.1e-08,2.7e-07,5.5e-05,6.2e-05,8.4e-05,1.3e-04,1.4e-08,4.1e-08,7.7e-05,4.9e-06,IEO,"Otto Matic",3321,2015-07-12,2024-08-14,129,,,1,.33488,,,,,,,,,
3837637,"       (2019 AQ3)","2019 AQ3",,,Y,N,0,17.48,,,,,,,,,,,,,,,,,0.51,,"JPL 28",2460600.5,60600,2024-10-17.0,J2000,0.3143,0.5886,0.404,47.22,64.48,163.17,163.05,0.77,2.182,2460525.79,2024-08-03.2,165,0.452,0.226,87.9,4.24,9.27,3.4e-07,8.6e-09,2.0e-07,1.4e-04,9.3e-05,1.2e-04,2.3e-04,1.1e-08,4.8e-08,1.1e-04,3.6e-06,IEO,"Otto Matic",2996,2015-10-13,2023-12-26,145,,,1,.35829,,,,,,,,,
